fips,state,county,county population,%_poor_health,%_smokers,%_adult_obesity,%_uninsured,%_vaccinated_for_flu,%_adults_with_diabetes,"heart_disease_mortality_rate_per_100,000",covid_cases,covid_deaths
48281,Texas,Lampasas,21229,17,14,30,20,26,6,299.8,3,0
48283,Texas,La Salle,7531,28,14,30,17,24,9,398.6,,
48285,Texas,Lavaca,20110,16,13,36,18,35,19,366.5,4,0
48287,Texas,Lee,17144,18,15,41,22,48,16,298.6,2,0
48289,Texas,Leon,17270,18,16,34,25,43,20,344.1,3,0
48291,Texas,Liberty,86323,20,17,34,22,35,20,498.6,19,0
48293,Texas,Limestone,23519,21,17,30,21,43,23,384,11,1
48295,Texas,Lipscomb,3355,17,14,28,29,29,6,355.5,,
48297,Texas,Live Oak,12166,21,15,29,21,34,15,372.4,3,0
48299,Texas,Llano,21646,16,13,27,21,39,12,278.7,3,0
48301,Texas,Loving,152,15,14,29,21,,5,424,,
48303,Texas,Lubbock,307412,21,15,35,16,45,8,382.7,270,14
48305,Texas,Lynn,5877,24,16,29,19,31,16,378.5,5,0
48307,Texas,McCulloch,7987,20,14,35,21,23,13,362.9,3,0
48309,Texas,McLennan,254607,20,16,33,18,49,10,341.9,71,2
48311,Texas,McMullen,749,18,12,26,20,28,11,294.2,,
48313,Texas,Madison,14422,19,16,27,22,42,13,366.3,1,0
48315,Texas,Marion,9928,20,17,40,19,37,18,463.6,,
48317,Texas,Martin,5753,19,14,36,23,35,4,440.8,2,0
48319,Texas,Mason,4280,17,12,26,28,42,12,290.1,1,0
48321,Texas,Matagorda,36552,23,16,38,22,38,10,399.8,49,3
48323,Texas,Maverick,58485,35,17,38,27,26,17,340.3,9,0
48325,Texas,Medina,50921,20,13,34,17,37,13,365.3,13,1
48327,Texas,Menard,2139,18,12,34,26,27,14,297.9,,
48329,Texas,Midland,172578,17,13,35,20,42,6,353.5,32,2
48331,Texas,Milam,25131,20,15,35,20,40,14,349.9,7,0
48333,Texas,Mills,4921,17,14,30,26,18,7,387.7,,
48335,Texas,Mitchell,8145,18,14,31,21,26,6,460.1,1,0
48337,Texas,Montague,19596,17,15,31,24,26,12,448.2,2,0
48339,Texas,Montgomery,590925,15,15,26,17,47,9,325.2,251,5
48341,Texas,Moore,21485,22,15,28,28,40,8,415.6,22,0
48343,Texas,Morris,12339,18,15,38,17,43,11,463.7,3,0
48345,Texas,Motley,1234,18,14,28,22,26,11,286.7,,
48347,Texas,Nacogdoches,65711,22,17,36,23,48,15,345.9,47,2
48349,Texas,Navarro,49565,21,16,30,22,47,10,397.1,12,2
48351,Texas,Newton,13746,17,15,36,18,34,12,546.9,2,0
48353,Texas,Nolan,14751,21,15,36,18,33,19,417.2,,
48355,Texas,Nueces,362265,23,14,33,19,40,13,317.5,76,0
48357,Texas,Ochiltree,9947,21,15,24,29,33,19,619.4,,
48359,Texas,Oldham,2131,16,15,23,16,40,6,367.1,3,1
48361,Texas,Orange,83572,17,16,41,15,43,15,530.2,44,0
48363,Texas,Palo Pinto,28875,19,16,32,22,44,11,519.3,4,1
48365,Texas,Panola,23148,18,16,37,19,38,16,377.2,10,1
48367,Texas,Parker,138371,14,14,35,15,46,7,318.1,13,0
48369,Texas,Parmer,9864,24,15,40,29,31,9,347.3,,
48371,Texas,Pecos,15673,22,14,46,23,16,11,361.3,1,0
48373,Texas,Polk,50031,20,16,44,22,45,16,510.9,9,0
48375,Texas,Potter,119648,24,18,37,24,47,11,458.5,70,2
48377,Texas,Presidio,6948,35,16,30,29,12,19,232.4,,
48379,Texas,Rains,12159,16,14,31,23,38,26,433.2,1,0
48381,Texas,Randall,136271,15,13,27,13,49,9,369.3,64,2
48383,Texas,Reagan,3741,25,15,28,23,19,6,372,,
48385,Texas,Real,3478,21,15,26,22,35,10,310.2,,
48387,Texas,Red River,12175,21,17,39,20,49,19,496,,
48389,Texas,Reeves,15695,25,15,28,22,28,7,413.8,,
48391,Texas,Refugio,7032,22,14,22,18,28,11,339.7,,
48393,Texas,Roberts,903,13,13,23,12,49,6,457.6,,
48395,Texas,Robertson,17284,19,15,37,19,41,16,417.4,2,0
48397,Texas,Rockwall,100657,13,13,25,13,51,15,280.4,24,0
48399,Texas,Runnels,10234,21,15,29,21,37,14,389.4,,
48401,Texas,Rusk,54450,21,17,39,20,41,16,431.9,16,0
48403,Texas,Sabine,10589,19,16,32,21,40,9,477.3,1,0
48405,Texas,San Augustine,8232,21,17,40,19,45,24,372.5,9,1
48407,Texas,San Jacinto,28719,20,17,30,23,38,14,410.9,5,0
48409,Texas,San Patricio,66893,23,15,40,19,39,10,343,7,0
48411,Texas,San Saba,6054,21,16,25,29,23,6,302.5,,
48413,Texas,Schleicher,2895,18,12,24,26,24,6,268.3,,
48415,Texas,Scurry,16866,20,15,30,18,31,8,347.4,2,0
48417,Texas,Shackelford,3253,16,14,28,21,45,8,394.9,,
48419,Texas,Shelby,25418,22,17,27,25,42,11,411.8,34,0
48421,Texas,Sherman,3079,19,13,28,30,36,4,466.1,,
48423,Texas,Smith,230221,18,16,34,20,52,14,452.8,96,2
48425,Texas,Somervell,9016,18,15,29,20,45,8,310.7,,
48427,Texas,Starr,64525,39,19,38,29,25,11,326,7,0
48429,Texas,Stephens,9433,20,16,31,26,32,8,434.3,1,0
48431,Texas,Sterling,1311,21,15,25,22,38,11,381,,
48433,Texas,Stonewall,1362,17,13,27,22,12,8,405.1,,
48435,Texas,Sutton,3758,19,12,33,22,41,8,303.8,,
48437,Texas,Swisher,7462,25,17,24,22,23,7,360.3,4,0
48439,Texas,Tarrant,2084931,20,14,30,18,49,10,307.2,806,25
48441,Texas,Taylor,137640,19,15,32,17,44,8,421.4,59,1
48443,Texas,Terrell,823,25,15,26,28,16,11,322.3,,
48445,Texas,Terry,12287,24,16,34,25,41,6,409.9,6,0
48447,Texas,Throckmorton,1515,17,14,26,27,18,7,390.7,,
48449,Texas,Titus,33033,23,16,31,25,41,11,426.5,6,0
48451,Texas,Tom Green,118189,19,14,29,18,48,12,289.2,35,1
48453,Texas,Travis,1248743,15,12,22,15,49,7,228,774,9
48455,Texas,Trinity,14740,20,17,40,20,37,29,484.8,3,0
48457,Texas,Tyler,21696,17,15,33,17,31,7,448,4,0
48459,Texas,Upshur,41260,16,15,31,18,43,18,450.7,8,0
48461,Texas,Upton,3671,22,14,24,23,20,7,407.4,,
48463,Texas,Uvalde,26846,27,15,31,22,32,16,344.8,7,0
48465,Texas,Val Verde,49208,29,16,25,23,25,8,325.9,12,0
48467,Texas,Van Zandt,56019,17,14,26,21,40,12,442.5,10,1
48469,Texas,Victoria,92035,22,15,36,19,48,18,333.7,77,0
48471,Texas,Walker,72480,21,17,36,19,42,16,314.8,18,0
48473,Texas,Waller,53126,21,16,36,24,43,11,325.5,15,0
48475,Texas,Ward,11720,21,14,42,21,19,22,442.6,,
48477,Texas,Washington,35108,18,15,30,20,41,16,276.8,37,2
48479,Texas,Webb,275910,35,18,38,29,35,7,285.3,191,6
48481,Texas,Wharton,41619,23,15,37,22,36,15,386.2,28,0
48483,Texas,Wheeler,5191,19,15,26,25,36,6,435.4,,
48485,Texas,Wichita,132064,23,18,35,18,44,14,360.6,56,0
48487,Texas,Wilbarger,12820,21,16,34,22,49,14,364.7,,
48489,Texas,Willacy,21515,37,19,40,22,53,24,292.7,5,1
48491,Texas,Williamson,566719,15,13,30,11,52,9,227.1,117,4
48493,Texas,Wilson,50224,17,13,34,17,37,13,333,11,0
48495,Texas,Winkler,7720,24,15,37,22,17,10,454.5,1,0
48497,Texas,Wise,68305,17,15,33,23,48,21,377.5,5,0
48499,Texas,Wood,45129,16,14,28,21,40,18,444.1,5,0
48501,Texas,Yoakum,8591,22,14,33,24,17,10,395.4,,
48503,Texas,Young,18045,18,16,34,23,38,19,445.2,3,0
48505,Texas,Zapata,14190,36,17,31,29,32,5,281.7,3,0
48507,Texas,Zavala,11983,41,20,24,19,26,4,384.8,,
